Month of Month,County,Total ED Visits
January 2019,Pitt,8782
February 2019,Pitt,7958
March 2019,Pitt,8768
April 2019,Pitt,8260
May 2019,Pitt,8463
June 2019,Pitt,7357
July 2019,Pitt,7728
August 2019,Pitt,7868
September 2019,Pitt,8228
October 2019,Pitt,8417
November 2019,Pitt,7644
December 2019,Pitt,8684
January 2020,Pitt,9043
February 2020,Pitt,8366
March 2020,Pitt,6951
April 2020,Pitt,3940
May 2020,Pitt,4866
June 2020,Pitt,5419
July 2020,Pitt,6139
August 2020,Pitt,6328
September 2020,Pitt,5936
October 2020,Pitt,6230
November 2020,Pitt,5768
December 2020,Pitt,5756
January 2021,Pitt,5860
February 2021,Pitt,5221
March 2021,Pitt,6046
April 2021,Pitt,6255
May 2021,Pitt,6453
June 2021,Pitt,6167
July 2021,Pitt,6843
August 2021,Pitt,7126
September 2021,Pitt,6685
October 2021,Pitt,6406
November 2021,Pitt,5977
December 2021,Pitt,6606
January 2022,Pitt,6514
February 2022,Pitt,5002
March 2022,Pitt,6104
April 2022,Pitt,6097
May 2022,Pitt,6723
June 2022,Pitt,6322
July 2022,Pitt,6339
August 2022,Pitt,6326
September 2022,Pitt,6523
October 2022,Pitt,6844
November 2022,Pitt,7419
December 2022,Pitt,6571
January 2023,Pitt,6403
February 2023,Pitt,5787
March 2023,Pitt,6366
April 2023,Pitt,6223
May 2023,Pitt,6437
June 2023,Pitt,6003
July 2023,Pitt,6268
August 2023,Pitt,6404
September 2023,Pitt,6675
October 2023,Pitt,6694
November 2023,Pitt,6682
December 2023,Pitt,7635
January 2024,Pitt,6731
February 2024,Pitt,6246
March 2024,Pitt,6599
April 2024,Pitt,6482
May 2024,Pitt,6764
June 2024,Pitt,6289
July 2024,Pitt,6572
August 2024,Pitt,6508
September 2024,Pitt,6567
October 2024,Pitt,6659
November 2024,Pitt,6793
December 2024,Pitt,6840
January 2025,Pitt,6796
February 2025,Pitt,6220
March 2025,Pitt,6607
January 2019,Mecklenburg,36282
February 2019,Mecklenburg,34257
March 2019,Mecklenburg,36200
