ds,county,y
2019-01-01,Cabarrus,268
2019-01-01,Caldwell,143
2019-01-01,Davidson,233
2019-01-01,Durham,335
2019-01-01,Mecklenburg,1229
2019-01-01,Pitt,297
2019-01-02,Cabarrus,243
2019-01-02,Caldwell,129
2019-01-02,Davidson,211
2019-01-02,Durham,303
2019-01-02,Mecklenburg,1112
2019-01-02,Pitt,269
2019-01-03,Cabarrus,256
2019-01-03,Caldwell,136
2019-01-03,Davidson,222
2019-01-03,Durham,319
2019-01-03,Mecklenburg,1170
2019-01-03,Pitt,283
2019-01-04,Cabarrus,256
2019-01-04,Caldwell,136
2019-01-04,Davidson,222
2019-01-04,Durham,319
2019-01-04,Mecklenburg,1170
2019-01-04,Pitt,283
2019-01-05,Cabarrus,281
2019-01-05,Caldwell,149
2019-01-05,Davidson,244
2019-01-05,Durham,351
2019-01-05,Mecklenburg,1287
2019-01-05,Pitt,312
2019-01-06,Cabarrus,307
2019-01-06,Caldwell,163
2019-01-06,Davidson,266
2019-01-06,Durham,383
2019-01-06,Mecklenburg,1404
2019-01-06,Pitt,340
2019-01-07,Cabarrus,294
2019-01-07,Caldwell,156
2019-01-07,Davidson,255
2019-01-07,Durham,367
2019-01-07,Mecklenburg,1346
2019-01-07,Pitt,326
2019-01-08,Cabarrus,268
2019-01-08,Caldwell,143
2019-01-08,Davidson,233
2019-01-08,Durham,335
2019-01-08,Mecklenburg,1229
2019-01-08,Pitt,297
2019-01-09,Cabarrus,243
2019-01-09,Caldwell,129
2019-01-09,Davidson,211
2019-01-09,Durham,303
2019-01-09,Mecklenburg,1112
2019-01-09,Pitt,269
2019-01-10,Cabarrus,256
2019-01-10,Caldwell,136
2019-01-10,Davidson,222
2019-01-10,Durham,319
2019-01-10,Mecklenburg,1170
2019-01-10,Pitt,283
2019-01-11,Cabarrus,256
2019-01-11,Caldwell,136
2019-01-11,Davidson,222
2019-01-11,Durham,319
2019-01-11,Mecklenburg,1170
2019-01-11,Pitt,283
2019-01-12,Cabarrus,281
2019-01-12,Caldwell,149
2019-01-12,Davidson,244
2019-01-12,Durham,351
2019-01-12,Mecklenburg,1287
2019-01-12,Pitt,312
2019-01-13,Cabarrus,307
2019-01-13,Caldwell,163
2019-01-13,Davidson,266
2019-01-13,Durham,383
2019-01-13,Mecklenburg,1404
2019-01-13,Pitt,340
2019-01-14,Cabarrus,294
2019-01-14,Caldwell,156
2019-01-14,Davidson,255
2019-01-14,Durham,367
2019-01-14,Mecklenburg,1346
2019-01-14,Pitt,326
2019-01-15,Cabarrus,268
2019-01-15,Caldwell,143
2019-01-15,Davidson,233
2019-01-15,Durham,335
2019-01-15,Mecklenburg,1229
2019-01-15,Pitt,297
2019-01-16,Cabarrus,243
2019-01-16,Caldwell,129
2019-01-16,Davidson,211
2019-01-16,Durham,303
2019-01-16,Mecklenburg,1112
2019-01-16,Pitt,269
2019-01-17,Cabarrus,256
2019-01-17,Caldwell,136
2019-01-17,Davidson,222
2019-01-17,Durham,319
2019-01-17,Mecklenburg,1170
2019-01-17,Pitt,283
2019-01-18,Cabarrus,256
2019-01-18,Caldwell,136
2019-01-18,Davidson,222
2019-01-18,Durham,319
2019-01-18,Mecklenburg,1170
2019-01-18,Pitt,283
2019-01-19,Cabarrus,281
2019-01-19,Caldwell,149
2019-01-19,Davidson,244
2019-01-19,Durham,351
2019-01-19,Mecklenburg,1287
2019-01-19,Pitt,312
2019-01-20,Cabarrus,307
2019-01-20,Caldwell,163
2019-01-20,Davidson,266
2019-01-20,Durham,383
2019-01-20,Mecklenburg,1404
2019-01-20,Pitt,340
2019-01-21,Cabarrus,294
2019-01-21,Caldwell,156
2019-01-21,Davidson,255
2019-01-21,Durham,367
2019-01-21,Mecklenburg,1346
